"","congress","start_date","chamber","state_abbrev","party_code","bioname","bioguide_id","birthday","cmltv_cong","cmltv_chamber","age_days","age_years","generation","lastname","stars"
"19",97,"1981-01-03","Senate","SD",200,"ABDNOR, James","A000009","1923-02-13",5,1,21144,57.8891170431211,"Greatest","ABDNOR",""
"20",98,"1983-01-03","Senate","SD",200,"ABDNOR, James","A000009","1923-02-13",6,2,21874,59.8877481177276,"Greatest","ABDNOR",""
"21",99,"1985-01-03","Senate","SD",200,"ABDNOR, James","A000009","1923-02-13",7,3,22605,61.8891170431211,"Greatest","ABDNOR",""
"22",83,"1953-01-03","Senate","NE",200,"ABEL, Hazel Hempel","A000010","1888-07-10",1,1,23552,64.4818617385352,"Lost","ABEL",""
"58",93,"1973-01-03","Senate","SD",100,"ABOUREZK, James George","A000017","1931-02-24",2,1,15289,41.8590006844627,"Silent","ABOUREZK",""
"59",94,"1975-01-03","Senate","SD",100,"ABOUREZK, James George","A000017","1931-02-24",3,2,16019,43.8576317590691,"Silent","ABOUREZK",""
"60",95,"1977-01-03","Senate","SD",100,"ABOUREZK, James George","A000017","1931-02-24",4,3,16750,45.8590006844627,"Silent","ABOUREZK",""
"98",68,"1923-03-04","Senate","CO",100,"ADAMS, Alva Blanchard","A000028","1875-10-29",1,1,17292,47.3429158110883,"Missionary","ADAMS",""
"99",73,"1933-03-04","Senate","CO",100,"ADAMS, Alva Blanchard","A000028","1875-10-29",2,2,20945,57.3442847364819,"Missionary","ADAMS",""
"100",74,"1935-01-03","Senate","CO",100,"ADAMS, Alva Blanchard","A000028","1875-10-29",3,3,21615,59.1786447638604,"Missionary","ADAMS",""
"101",75,"1937-01-03","Senate","CO",100,"ADAMS, Alva Blanchard","A000028","1875-10-29",4,4,22346,61.1800136892539,"Missionary","ADAMS",""
"102",76,"1939-01-03","Senate","CO",100,"ADAMS, Alva Blanchard","A000028","1875-10-29",5,5,23076,63.1786447638604,"Missionary","ADAMS",""
"103",77,"1941-01-03","Senate","CO",100,"ADAMS, Alva Blanchard","A000028","1875-10-29",6,6,23807,65.1800136892539,"Missionary","ADAMS",""
"111",100,"1987-01-03","Senate","WA",100,"ADAMS, Brockman (Brock)","A000031","1927-01-13",8,1,21905,59.9726214921287,"Greatest","ADAMS",""
"112",101,"1989-01-03","Senate","WA",100,"ADAMS, Brockman (Brock)","A000031","1927-01-13",9,2,22636,61.9739904175222,"Greatest","ADAMS",""
"113",102,"1991-01-03","Senate","WA",100,"ADAMS, Brockman (Brock)","A000031","1927-01-13",10,3,23366,63.9726214921287,"Greatest","ADAMS",""
"154",77,"1941-01-03","Senate","VT",200,"AIKEN, George David","A000062","1892-08-20",1,1,17667,48.3696098562628,"Lost","AIKEN",""
"155",78,"1943-01-03","Senate","VT",200,"AIKEN, George David","A000062","1892-08-20",2,2,18397,50.3682409308693,"Lost","AIKEN",""
"156",79,"1945-01-03","Senate","VT",200,"AIKEN, George David","A000062","1892-08-20",3,3,19128,52.3696098562628,"Lost","AIKEN",""
"157",80,"1947-01-03","Senate","VT",200,"AIKEN, George David","A000062","1892-08-20",4,4,19858,54.3682409308693,"Lost","AIKEN",""
"158",81,"1949-01-03","Senate","VT",200,"AIKEN, George David","A000062","1892-08-20",5,5,20589,56.3696098562628,"Lost","AIKEN",""
"159",82,"1951-01-03","Senate","VT",200,"AIKEN, George David","A000062","1892-08-20",6,6,21319,58.3682409308693,"Lost","AIKEN",""
"160",83,"1953-01-03","Senate","VT",200,"AIKEN, George David","A000062","1892-08-20",7,7,22050,60.3696098562628,"Lost","AIKEN",""
"161",84,"1955-01-03","Senate","VT",200,"AIKEN, George David","A000062","1892-08-20",8,8,22780,62.3682409308693,"Lost","AIKEN",""
"162",85,"1957-01-03","Senate","VT",200,"AIKEN, George David","A000062","1892-08-20",9,9,23511,64.3696098562628,"Lost","AIKEN",""
"163",86,"1959-01-03","Senate","VT",200,"AIKEN, George David","A000062","1892-08-20",10,10,24241,66.3682409308693,"Lost","AIKEN",""
"164",87,"1961-01-03","Senate","VT",200,"AIKEN, George David","A000062","1892-08-20",11,11,24972,68.3696098562628,"Lost","AIKEN",""
"165",88,"1963-01-03","Senate","VT",200,"AIKEN, George David","A000062","1892-08-20",12,12,25702,70.3682409308693,"Lost","AIKEN",""
"166",89,"1965-01-03","Senate","VT",200,"AIKEN, George David","A000062","1892-08-20",13,13,26433,72.3696098562628,"Lost","AIKEN",""
"167",90,"1967-01-03","Senate","VT",200,"AIKEN, George David","A000062","1892-08-20",14,14,27163,74.3682409308693,"Lost","AIKEN",""
"168",91,"1969-01-03","Senate","VT",200,"AIKEN, George David","A000062","1892-08-20",15,15,27894,76.3696098562628,"Lost","AIKEN",""
"169",92,"1971-01-03","Senate","VT",200,"AIKEN, George David","A000062","1892-08-20",16,16,28624,78.3682409308693,"Lost","AIKEN",""
"170",93,"1973-01-03","Senate","VT",200,"AIKEN, George David","A000062","1892-08-20",17,17,29355,80.3696098562628,"Lost","AIKEN",""
"178",102,"1991-01-03","Senate","HI",100,"AKAKA, Daniel Kahikina","A000069","1924-09-11",8,1,24220,66.3107460643395,"Greatest","AKAKA",""
"179",103,"1993-01-03","Senate","HI",100,"AKAKA, Daniel Kahikina","A000069","1924-09-11",9,2,24951,68.3121149897331,"Greatest","AKAKA",""
"180",104,"1995-01-03","Senate","HI",100,"AKAKA, Daniel Kahikina","A000069","1924-09-11",10,3,25681,70.3107460643395,"Greatest","AKAKA",""
"181",105,"1997-01-03","Senate","HI",100,"AKAKA, Daniel Kahikina","A000069","1924-09-11",11,4,26412,72.3121149897331,"Greatest","AKAKA",""
"182",106,"1999-01-03","Senate","HI",100,"AKAKA, Daniel Kahikina","A000069","1924-09-11",12,5,27142,74.3107460643395,"Greatest","AKAKA",""
"183",107,"2001-01-03","Senate","HI",100,"AKAKA, Daniel Kahikina","A000069","1924-09-11",13,6,27873,76.3121149897331,"Greatest","AKAKA",""
"184",108,"2003-01-03","Senate","HI",100,"AKAKA, Daniel Kahikina","A000069","1924-09-11",14,7,28603,78.3107460643395,"Greatest","AKAKA",""
"185",109,"2005-01-03","Senate","HI",100,"AKAKA, Daniel Kahikina","A000069","1924-09-11",15,8,29334,80.3121149897331,"Greatest","AKAKA",""
"186",110,"2007-01-03","Senate","HI",100,"AKAKA, Daniel Kahikina","A000069","1924-09-11",16,9,30064,82.3107460643395,"Greatest","AKAKA",""
"187",111,"2009-01-03","Senate","HI",100,"AKAKA, Daniel Kahikina","A000069","1924-09-11",17,10,30795,84.3121149897331,"Greatest","AKAKA",""
"188",112,"2011-01-03","Senate","HI",100,"AKAKA, Daniel Kahikina","A000069","1924-09-11",18,11,31525,86.3107460643395,"Greatest","AKAKA",""
"243",105,"1997-01-03","Senate","CO",200,"ALLARD, A. Wayne","A000109","1943-12-02",4,1,19391,53.0896646132786,"Silent","ALLARD",""
"244",106,"1999-01-03","Senate","CO",200,"ALLARD, A. Wayne","A000109","1943-12-02",5,2,20121,55.088295687885,"Silent","ALLARD",""
"245",107,"2001-01-03","Senate","CO",200,"ALLARD, A. Wayne","A000109","1943-12-02",6,3,20852,57.0896646132786,"Silent","ALLARD",""
"246",108,"2003-01-03","Senate","CO",200,"ALLARD, A. Wayne","A000109","1943-12-02",7,4,21582,59.088295687885,"Silent","ALLARD",""
"247",109,"2005-01-03","Senate","CO",200,"ALLARD, A. Wayne","A000109","1943-12-02",8,5,22313,61.0896646132786,"Silent","ALLARD",""
"248",110,"2007-01-03","Senate","CO",200,"ALLARD, A. Wayne","A000109","1943-12-02",9,6,23043,63.088295687885,"Silent","ALLARD",""
"260",107,"2001-01-03","Senate","VA",200,"ALLEN, George","A000121","1952-03-08",2,1,17833,48.8240930869268,"Boomers","ALLEN",""
"261",108,"2003-01-03","Senate","VA",200,"ALLEN, George","A000121","1952-03-08",3,2,18563,50.8227241615332,"Boomers","ALLEN",""
"262",109,"2005-01-03","Senate","VA",200,"ALLEN, George","A000121","1952-03-08",4,3,19294,52.8240930869268,"Boomers","ALLEN",""
"263",71,"1929-03-04","Senate","KS",200,"ALLEN, Henry Justin","A000126","1868-09-11",1,1,22088,60.4736481861739,"Missionary","ALLEN",""
"264",91,"1969-01-03","Senate","AL",100,"ALLEN, James Browning","A000127","1912-12-28",1,1,20460,56.0164271047228,"Greatest","ALLEN",""
"265",92,"1971-01-03","Senate","AL",100,"ALLEN, James Browning","A000127","1912-12-28",2,2,21190,58.0150581793292,"Greatest","ALLEN",""
"266",93,"1973-01-03","Senate","AL",100,"ALLEN, James Browning","A000127","1912-12-28",3,3,21921,60.0164271047228,"Greatest","ALLEN",""
"267",94,"1975-01-03","Senate","AL",100,"ALLEN, James Browning","A000127","1912-12-28",4,4,22651,62.0150581793292,"Greatest","ALLEN",""
"268",95,"1977-01-03","Senate","AL",100,"ALLEN, James Browning","A000127","1912-12-28",5,5,23382,64.0164271047228,"Greatest","ALLEN",""
"293",95,"1977-01-03","Senate","AL",100,"ALLEN, Maryon Pittman","A000139","1925-11-30",1,1,18662,51.0937713894593,"Greatest","ALLEN",""
"306",84,"1955-01-03","Senate","CO",200,"ALLOTT, Gordon Llewellyn","A000161","1907-01-02",1,1,17533,48.0027378507871,"Greatest","ALLOTT",""
"307",85,"1957-01-03","Senate","CO",200,"ALLOTT, Gordon Llewellyn","A000161","1907-01-02",2,2,18264,50.0041067761807,"Greatest","ALLOTT",""
"308",86,"1959-01-03","Senate","CO",200,"ALLOTT, Gordon Llewellyn","A000161","1907-01-02",3,3,18994,52.0027378507871,"Greatest","ALLOTT",""
"309",87,"1961-01-03","Senate","CO",200,"ALLOTT, Gordon Llewellyn","A000161","1907-01-02",4,4,19725,54.0041067761807,"Greatest","ALLOTT",""
"310",88,"1963-01-03","Senate","CO",200,"ALLOTT, Gordon Llewellyn","A000161","1907-01-02",5,5,20455,56.0027378507871,"Greatest","ALLOTT",""
"311",89,"1965-01-03","Senate","CO",200,"ALLOTT, Gordon Llewellyn","A000161","1907-01-02",6,6,21186,58.0041067761807,"Greatest","ALLOTT",""
"312",90,"1967-01-03","Senate","CO",200,"ALLOTT, Gordon Llewellyn","A000161","1907-01-02",7,7,21916,60.0027378507871,"Greatest","ALLOTT",""
"313",91,"1969-01-03","Senate","CO",200,"ALLOTT, Gordon Llewellyn","A000161","1907-01-02",8,8,22647,62.0041067761807,"Greatest","ALLOTT",""
"314",92,"1971-01-03","Senate","CO",200,"ALLOTT, Gordon Llewellyn","A000161","1907-01-02",9,9,23377,64.0027378507871,"Greatest","ALLOTT",""
"349",81,"1949-01-03","Senate","NM",100,"ANDERSON, Clinton Presba","A000186","1895-10-23",4,1,19430,53.1964407939767,"Lost","ANDERSON",""
"350",82,"1951-01-03","Senate","NM",100,"ANDERSON, Clinton Presba","A000186","1895-10-23",5,2,20160,55.1950718685832,"Lost","ANDERSON",""
"351",83,"1953-01-03","Senate","NM",100,"ANDERSON, Clinton Presba","A000186","1895-10-23",6,3,20891,57.1964407939767,"Lost","ANDERSON",""
"352",84,"1955-01-03","Senate","NM",100,"ANDERSON, Clinton Presba","A000186","1895-10-23",7,4,21621,59.1950718685832,"Lost","ANDERSON",""
"353",85,"1957-01-03","Senate","NM",100,"ANDERSON, Clinton Presba","A000186","1895-10-23",8,5,22352,61.1964407939767,"Lost","ANDERSON",""
"354",86,"1959-01-03","Senate","NM",100,"ANDERSON, Clinton Presba","A000186","1895-10-23",9,6,23082,63.1950718685832,"Lost","ANDERSON",""
"355",87,"1961-01-03","Senate","NM",100,"ANDERSON, Clinton Presba","A000186","1895-10-23",10,7,23813,65.1964407939767,"Lost","ANDERSON",""
"356",88,"1963-01-03","Senate","NM",100,"ANDERSON, Clinton Presba","A000186","1895-10-23",11,8,24543,67.1950718685832,"Lost","ANDERSON",""
"357",89,"1965-01-03","Senate","NM",100,"ANDERSON, Clinton Presba","A000186","1895-10-23",12,9,25274,69.1964407939767,"Lost","ANDERSON",""
"358",90,"1967-01-03","Senate","NM",100,"ANDERSON, Clinton Presba","A000186","1895-10-23",13,10,26004,71.1950718685832,"Lost","ANDERSON",""
"359",91,"1969-01-03","Senate","NM",100,"ANDERSON, Clinton Presba","A000186","1895-10-23",14,11,26735,73.1964407939767,"Lost","ANDERSON",""
"360",92,"1971-01-03","Senate","NM",100,"ANDERSON, Clinton Presba","A000186","1895-10-23",15,12,27465,75.1950718685832,"Lost","ANDERSON",""
"392",94,"1975-01-03","Senate","MN",100,"ANDERSON, Wendell Richard","A000202","1933-02-01",1,1,15311,41.9192334017796,"Silent","ANDERSON",""
"393",95,"1977-01-03","Senate","MN",100,"ANDERSON, Wendell Richard","A000202","1933-02-01",2,2,16042,43.9206023271732,"Silent","ANDERSON",""
"430",97,"1981-01-03","Senate","ND",200,"ANDREWS, Mark","A000208","1926-05-19",10,1,19953,54.6283367556468,"Greatest","ANDREWS",""
"431",98,"1983-01-03","Senate","ND",200,"ANDREWS, Mark","A000208","1926-05-19",11,2,20683,56.6269678302532,"Greatest","ANDREWS",""
"432",99,"1985-01-03","Senate","ND",200,"ANDREWS, Mark","A000208","1926-05-19",12,3,21414,58.6283367556468,"Greatest","ANDREWS",""
"532",96,"1979-01-03","Senate","CO",200,"ARMSTRONG, William Lester","A000219","1937-03-16",4,1,15268,41.8015058179329,"Silent","ARMSTRONG",""
