"","player","season","team","goals_z","xg_z","crosses_z","boxtouches_z","passes_z","progpasses_z","takeons_z","progruns_z","tackles_z","interceptions_z","clearances_z","blocks_z","aerials_z","fouls_z","fouled_z","nsxg_z"
"1","Cristian Pavón",2018,"Argentina",-0.42,-0.55,0.08,-0.24,-0.61,-0.72,-0.05,0.15,0.3,-0.79,-0.8,-0.45,-0.23,-0.38,-0.91,-0.58
"2","Eduardo Salvio",2018,"Argentina",-0.42,-0.5,-0.51,0.64,0.02,-0.46,-0.05,0.48,0.61,0.67,0.32,-0.45,0.21,-1.11,0.68,-0.03
"3","Enzo Pérez",2018,"Argentina",-0.42,0.11,-0.51,-0.69,0.27,-0.65,-0.36,-0.34,0.35,-0.22,-0.8,-0.45,-0.89,0.72,0.04,-0.66
"4","Federico Fazio",2018,"Argentina",-0.42,-0.59,-0.51,-0.69,-0.97,-0.91,-0.67,-0.84,-0.82,-0.79,-0.64,-0.45,0.21,-1.11,-0.59,-0.77
"5","Franco Armani",2018,"Argentina",-0.42,-0.59,-0.51,-0.8,-0.67,0.64,-0.67,-0.67,-0.82,-0.79,-0.64,-0.45,-0.89,-1.11,-0.91,-0.77
"6","Gabriel Mercado",2018,"Argentina",1.3,-0.3,0.08,-0.35,1,-0.2,-0.36,0.15,1.43,0.79,0.64,0.73,-0.01,1.81,0.68,-0.47
"7","Gonzalo Higuaín",2018,"Argentina",-0.42,0.25,-0.51,-0.02,-0.77,-1.1,-0.36,-0.67,-0.82,-0.79,-0.64,-0.45,-0.67,-0.38,-0.59,-0.31
"8","Javier Mascherano",2018,"Argentina",-0.42,-0.52,-0.51,-0.8,3.25,0.51,0.26,1.63,3.71,2.75,0.8,-0.45,-0.01,4.37,1.32,-0.31
"9","Lionel Messi",2018,"Argentina",1.3,3.08,0.66,1.3,1.17,0.32,6.76,2.12,2.15,-0.79,-0.8,-0.45,-0.89,0.35,4.49,4.55
"10","Lucas Biglia",2018,"Argentina",-0.42,-0.5,-0.51,-0.35,-0.58,-0.91,-0.67,-0.84,-0.11,-0.79,-0.8,-0.45,-0.45,-1.11,-0.59,-0.69
"11","Marcos Acuña",2018,"Argentina",-0.42,-0.55,0.08,-0.69,-0.83,-0.85,-0.36,-0.84,-0.31,-0.79,-0.48,0.73,-0.67,-0.74,0.04,-0.5
"12","Marcos Rojo",2018,"Argentina",1.3,-0.17,0.08,-0.02,0.87,0.19,-0.36,1.46,0.49,1.79,1.44,1.19,1.53,-0.01,-0.27,-0.44
"13","Maximiliano Meza",2018,"Argentina",-0.42,0.07,1.24,1.3,0.04,-0.78,0.57,1.3,0.25,-0.27,-0.48,-0.45,-0.67,-0.01,1.32,1.27
"14","Nicolás Otamendi",2018,"Argentina",-0.42,-0.28,-0.51,0.42,2.51,0.96,-0.67,3.76,2.9,3.48,2.88,2.37,3.95,-0.01,0.68,-0.47
"15","Nicolás Tagliafico",2018,"Argentina",-0.42,-0.37,-0.51,-0.02,1.5,0.51,-0.05,0.15,0.77,0.79,0.48,0.73,0.21,1.08,1.32,-0.55
"16","Sergio Agüero",2018,"Argentina",3.02,0.62,-0.51,1.52,-0.54,-0.97,0.26,-0.67,1.32,-0.27,-0.8,-0.45,-0.67,-1.11,-0.59,-0.28
"17","Wilfredo Caballero",2018,"Argentina",-0.42,-0.59,-0.51,-0.8,-0.75,-0.26,-0.67,-0.84,-0.82,-0.79,-0.48,-0.45,-0.89,-1.11,-0.91,-0.77
"18","Ángel Di María",2018,"Argentina",1.3,-0.19,1.24,0.53,-0.39,-0.59,0.26,0.97,-0.82,-0.12,-0.8,-0.45,-0.67,-0.74,1.32,0.8
"19","Éver Banega",2018,"Argentina",-0.42,-0.39,0.66,-0.35,1.37,0.9,0.88,1.79,2.94,0.55,-0.48,-0.45,-0.89,-0.01,0.04,1.4
"20","Aaron Mooy",2018,"Australia",-0.42,-0.27,7.26,-0.8,1.91,0.53,0.98,-0.18,-0.28,0.45,1.12,-0.45,-0.6,0.84,-0.49,3.09
"21","Andrew Nabbout",2018,"Australia",-0.42,-0.59,-0.51,-0.35,-1,-1.1,-0.26,-0.18,-0.82,-0.79,-0.8,-0.45,0.57,-0.62,-0.49,-0.66
"22","Aziz Behich",2018,"Australia",-0.42,-0.3,1.05,0.09,1.66,0.96,0.16,0.91,0.39,-0.07,0.26,-0.45,-0.89,0.84,-0.06,0.55
"23","Daniel Arzani",2018,"Australia",-0.42,-0.38,0.27,-0.35,-0.93,-1.02,-0.26,0.48,-0.82,-0.79,-0.8,0.32,-0.89,-0.62,-0.49,-0.08
"24","Jackson Irvine",2018,"Australia",-0.42,-0.59,0.27,-0.5,-1.1,-1.02,-0.26,-0.84,0.22,-0.07,-0.8,-0.45,-0.89,-1.11,-0.49,-0.37
"25","Joshua Risdon",2018,"Australia",-0.42,-0.47,-0.51,-0.06,0.97,2.51,0.98,0.26,3.57,0.82,1.97,-0.45,-0.6,0.84,-0.49,-0.55
"26","Mark Milligan",2018,"Australia",-0.42,-0.59,-0.51,-0.8,3.13,3.12,-0.67,0.91,0.94,0.66,2.4,-0.45,-0.01,0.35,-0.91,-0.15
"27","Mathew Leckie",2018,"Australia",-0.42,1.26,0.27,3.91,-0.18,-0.41,0.98,0.91,-0.82,-0.45,1.12,-0.45,3.8,1.81,1.21,0.88
"28","Mathew Ryan",2018,"Australia",-0.42,-0.59,-0.51,-0.8,0.78,2.6,-0.67,-0.84,-0.82,-0.79,-0.38,-0.45,-0.6,-1.11,-0.91,-0.77
"29","Mile Jedinak",2018,"Australia",4.17,4.51,0.27,0.23,1.56,0.36,0.16,-0.4,1.14,1,-0.38,0.32,2.04,1.81,-0.06,-0.15
"30","Robbie Kruse",2018,"Australia",-0.42,-0.27,-0.51,0.82,-0.45,-0.67,-0.26,-0.4,0.52,-0.79,-0.59,-0.45,-0.6,-0.14,2.48,-0.63
"31","Tim Cahill",2018,"Australia",-0.42,-0.21,-0.51,0.23,-1.17,-1.02,-0.67,-0.84,-0.82,-0.79,-0.8,-0.45,-0.01,-0.14,-0.49,-0.74
"32","Tom Rogic",2018,"Australia",-0.42,0.11,-0.51,-0.65,-0.27,-0.59,3.04,0.48,-0.28,-0.07,-0.8,-0.45,-0.01,0.35,0.79,0.81
"33","Tomi Juric",2018,"Australia",-0.42,-0.59,-0.51,-0.5,-1.04,-0.85,-0.67,-0.84,-0.82,-0.79,-0.59,-0.45,0.57,-1.11,-0.49,-0.7
"34","Trent Sainsbury",2018,"Australia",-0.42,-0.06,-0.51,0.68,1.98,2.86,-0.67,0.26,-0.12,2.61,2.4,-0.45,2.04,-0.14,0.36,-0.19
"35","Adnan Januzaj",2018,"Belgium",0.57,-0.43,-0.17,-0.48,-1.15,-0.96,-0.14,-0.37,-0.82,-0.54,-0.8,-0.45,-0.89,-0.9,-0.73,-0.29
"36","Axel Witsel",2018,"Belgium",-0.42,-0.34,-0.17,-0.61,1.31,-0.33,0.39,-0.37,-0.07,0.82,-0.44,0.34,-0.14,0.77,0.73,-0.38
"37","Dedryck Boyata",2018,"Belgium",-0.42,-0.59,-0.51,-0.67,0.25,-0.22,-0.67,-0.65,-0.82,-0.01,0.48,0.61,0.36,-0.27,-0.55,-0.77
"38","Dries Mertens",2018,"Belgium",0.57,-0.24,0.82,0.84,-0.47,-0.51,-0.32,-0.55,-0.61,-0.23,-0.8,-0.45,-0.89,-0.27,-0.18,1.27
"39","Eden Hazard",2018,"Belgium",2.53,3.05,-0.17,2.55,0.55,0.67,6.41,3.19,0.51,0.23,-0.71,-0.45,-0.14,0.14,3.99,3.31
"40","Jan Vertonghen",2018,"Belgium",0.57,-0.56,-0.17,-0.23,1.26,1.37,-0.32,-0.46,0.97,0.75,0.66,0.59,0.74,-0.07,-0.36,-0.77
"41","Kevin De Bruyne",2018,"Belgium",0.57,0.34,3.15,0.4,1.03,1.11,0.22,1.7,0.5,1.1,-0.35,-0.45,-0.39,-0.07,-0.36,3.26
"42","Leander Dendoncker",2018,"Belgium",-0.42,-0.59,-0.51,-0.8,-0.74,-0.88,-0.67,-0.65,-0.58,-0.79,-0.62,0.11,-0.89,-0.69,-0.73,-0.77
"43","Marouane Fellaini",2018,"Belgium",0.57,-0.19,-0.17,0.53,-0.32,-0.73,-0.14,-0.65,0.33,-0.56,-0.16,1.75,1.12,1.19,0.18,-0.21
"44","Michy Batshuayi",2018,"Belgium",0.57,2.57,-0.51,0.34,-1.1,-1.1,-0.14,-0.55,-0.82,-0.79,-0.8,-0.45,-0.64,-1.11,-0.73,-0.29
"45","Mousa Dembélé",2018,"Belgium",-0.42,-0.59,-0.51,-0.8,-0.38,-0.81,-0.67,-0.37,0.37,-0.19,-0.53,1.14,-0.64,0.35,-0.73,-0.71
"46","Nacer Chadli",2018,"Belgium",0.57,0.25,0.82,0.09,0.03,0.11,0.57,0.48,-0.36,-0.01,-0.16,-0.45,-0.01,-0.69,-0.73,0.27
"47","Romelu Lukaku",2018,"Belgium",3.51,2.86,-0.17,1.92,-0.66,-0.92,0.39,0.29,-0.61,-0.79,-0.71,-0.45,0.62,0.98,-0.36,0.5
"48","Thibaut Courtois",2018,"Belgium",-0.42,-0.59,-0.51,-0.8,0.22,1.59,-0.67,-0.84,-0.82,-0.79,-0.35,-0.45,-0.64,-1.11,-0.91,-0.77
"49","Thomas Meunier",2018,"Belgium",0.57,0.25,0.82,0.28,0.33,0.93,0.04,1.13,-0.05,0.08,-0.25,0.58,-0.27,0.77,-0.73,1.13
"50","Thomas Vermaelen",2018,"Belgium",-0.42,-0.59,-0.51,-0.8,-0.7,-0.62,-0.67,-0.74,-0.58,-0.67,-0.53,-0.18,-0.77,-0.48,-0.73,-0.77
"51","Thorgan Hazard",2018,"Belgium",-0.42,-0.41,0.16,-0.54,-0.89,-0.73,-0.14,-0.18,0,-0.29,-0.53,-0.45,-0.77,-0.9,-0.91,-0.21
"52","Toby Alderweireld",2018,"Belgium",-0.42,-0.21,-0.51,-0.48,2.03,1.15,-0.67,1.98,0.76,0.33,1.12,3.42,-0.27,-0.27,-0.73,-0.73
"53","Vincent Kompany",2018,"Belgium",-0.42,-0.34,-0.51,0.34,0.94,0.3,-0.67,0.48,0.06,-0.31,1.3,1.59,-0.39,0.35,-0.73,-0.77
"54","Yannick Carrasco",2018,"Belgium",-0.42,-0.3,-0.51,0.15,-0.67,-0.44,0.22,0.1,0.06,-0.79,-0.44,-0.45,-0.89,-0.07,0,0.11
"55","Youri Tielemans",2018,"Belgium",-0.42,-0.43,-0.17,-0.8,-0.46,-0.62,-0.14,-0.46,-0.34,-0.55,-0.8,-0.45,-0.77,-0.27,-0.36,-0.24
"56","Alisson",2018,"Brazil",-0.42,-0.59,-0.51,-0.8,-0.33,1.12,-0.67,-0.84,-0.82,-0.79,-0.55,-0.45,-0.54,-1.11,-0.91,-0.77
"57","Casemiro",2018,"Brazil",-0.42,-0.34,-0.04,0.09,1.36,0.45,0.82,0.21,3.12,1.41,0.61,0.17,0.69,-0.23,-0.4,-0.11
"58","Danilo",2018,"Brazil",-0.42,-0.59,-0.51,-0.8,-0.65,-0.74,-0.42,-0.7,-0.43,-0.39,-0.55,-0.45,-0.89,-1.11,-0.66,-0.66
"59","Douglas Costa",2018,"Brazil",-0.42,-0.38,-0.51,0,-0.79,-0.74,1.31,2.05,-0.27,0.09,-0.8,-0.45,-0.89,-1.11,-0.91,0.75
