"","X","player","season","team","goals_z","xg_z","crosses_z","boxtouches_z","passes_z","progpasses_z","takeons_z","progruns_z","tackles_z","interceptions_z","clearances_z","blocks_z","aerials_z","fouls_z","fouled_z","nsxg_z","off","offplus"
"1",1,"Cristian Pavón",2018,"Argentina",-0.42,-0.55,0.08,-0.24,-0.61,-0.72,-0.05,0.15,0.3,-0.79,-0.8,-0.45,-0.23,-0.38,-0.91,-0.58,-0.57,-0.135
"2",2,"Eduardo Salvio",2018,"Argentina",-0.42,-0.5,-0.51,0.64,0.02,-0.46,-0.05,0.48,0.61,0.67,0.32,-0.45,0.21,-1.11,0.68,-0.03,0.02,-0.135
"3",3,"Enzo Pérez",2018,"Argentina",-0.42,0.11,-0.51,-0.69,0.27,-0.65,-0.36,-0.34,0.35,-0.22,-0.8,-0.45,-0.89,0.72,0.04,-0.66,-0.99,-0.465
"4",4,"Federico Fazio",2018,"Argentina",-0.42,-0.59,-0.51,-0.69,-0.97,-0.91,-0.67,-0.84,-0.82,-0.79,-0.64,-0.45,0.21,-1.11,-0.59,-0.77,-1.75,-0.7325
"5",5,"Franco Armani",2018,"Argentina",-0.42,-0.59,-0.51,-0.8,-0.67,0.64,-0.67,-0.67,-0.82,-0.79,-0.64,-0.45,-0.89,-1.11,-0.91,-0.77,-0.03,-0.3025
"6",6,"Gabriel Mercado",2018,"Argentina",1.3,-0.3,0.08,-0.35,1,-0.2,-0.36,0.15,1.43,0.79,0.64,0.73,-0.01,1.81,0.68,-0.47,-0.05,-0.0825
"7",7,"Gonzalo Higuaín",2018,"Argentina",-0.42,0.25,-0.51,-0.02,-0.77,-1.1,-0.36,-0.67,-0.82,-0.79,-0.64,-0.45,-0.67,-0.38,-0.59,-0.31,-1.77,-0.66
"8",8,"Javier Mascherano",2018,"Argentina",-0.42,-0.52,-0.51,-0.8,3.25,0.51,0.26,1.63,3.71,2.75,0.8,-0.45,-0.01,4.37,1.32,-0.31,2.14,0.4725
"9",9,"Lionel Messi",2018,"Argentina",1.3,3.08,0.66,1.3,1.17,0.32,6.76,2.12,2.15,-0.79,-0.8,-0.45,-0.89,0.35,4.49,4.55,2.44,2.465
"10",10,"Lucas Biglia",2018,"Argentina",-0.42,-0.5,-0.51,-0.35,-0.58,-0.91,-0.67,-0.84,-0.11,-0.79,-0.8,-0.45,-0.45,-1.11,-0.59,-0.69,-1.75,-0.7325
"11",11,"Marcos Acuña",2018,"Argentina",-0.42,-0.55,0.08,-0.69,-0.83,-0.85,-0.36,-0.84,-0.31,-0.79,-0.48,0.73,-0.67,-0.74,0.04,-0.5,-1.69,-0.4925
"12",12,"Marcos Rojo",2018,"Argentina",1.3,-0.17,0.08,-0.02,0.87,0.19,-0.36,1.46,0.49,1.79,1.44,1.19,1.53,-0.01,-0.27,-0.44,1.65,0.3425
"13",13,"Maximiliano Meza",2018,"Argentina",-0.42,0.07,1.24,1.3,0.04,-0.78,0.57,1.3,0.25,-0.27,-0.48,-0.45,-0.67,-0.01,1.32,1.27,0.52,0.5825
"14",14,"Nicolás Otamendi",2018,"Argentina",-0.42,-0.28,-0.51,0.42,2.51,0.96,-0.67,3.76,2.9,3.48,2.88,2.37,3.95,-0.01,0.68,-0.47,4.72,0.885
"15",15,"Nicolás Tagliafico",2018,"Argentina",-0.42,-0.37,-0.51,-0.02,1.5,0.51,-0.05,0.15,0.77,0.79,0.48,0.73,0.21,1.08,1.32,-0.55,0.66,0.025
"16",16,"Sergio Agüero",2018,"Argentina",3.02,0.62,-0.51,1.52,-0.54,-0.97,0.26,-0.67,1.32,-0.27,-0.8,-0.45,-0.67,-1.11,-0.59,-0.28,-1.64,-0.4725
"17",17,"Wilfredo Caballero",2018,"Argentina",-0.42,-0.59,-0.51,-0.8,-0.75,-0.26,-0.67,-0.84,-0.82,-0.79,-0.48,-0.45,-0.89,-1.11,-0.91,-0.77,-1.1,-0.57
"18",18,"Ángel Di María",2018,"Argentina",1.3,-0.19,1.24,0.53,-0.39,-0.59,0.26,0.97,-0.82,-0.12,-0.8,-0.45,-0.67,-0.74,1.32,0.8,0.38,0.47
"19",19,"Éver Banega",2018,"Argentina",-0.42,-0.39,0.66,-0.35,1.37,0.9,0.88,1.79,2.94,0.55,-0.48,-0.45,-0.89,-0.01,0.04,1.4,2.69,1.0575
"20",20,"Aaron Mooy",2018,"Australia",-0.42,-0.27,7.26,-0.8,1.91,0.53,0.98,-0.18,-0.28,0.45,1.12,-0.45,-0.6,0.84,-0.49,3.09,0.35,2.1475
"21",21,"Andrew Nabbout",2018,"Australia",-0.42,-0.59,-0.51,-0.35,-1,-1.1,-0.26,-0.18,-0.82,-0.79,-0.8,-0.45,0.57,-0.62,-0.49,-0.66,-1.28,-0.5125
"22",22,"Aziz Behich",2018,"Australia",-0.42,-0.3,1.05,0.09,1.66,0.96,0.16,0.91,0.39,-0.07,0.26,-0.45,-0.89,0.84,-0.06,0.55,1.87,0.77
"23",23,"Daniel Arzani",2018,"Australia",-0.42,-0.38,0.27,-0.35,-0.93,-1.02,-0.26,0.48,-0.82,-0.79,-0.8,0.32,-0.89,-0.62,-0.49,-0.08,-0.54,-0.1325
"24",24,"Jackson Irvine",2018,"Australia",-0.42,-0.59,0.27,-0.5,-1.1,-1.02,-0.26,-0.84,0.22,-0.07,-0.8,-0.45,-0.89,-1.11,-0.49,-0.37,-1.86,-0.4625
"25",25,"Joshua Risdon",2018,"Australia",-0.42,-0.47,-0.51,-0.06,0.97,2.51,0.98,0.26,3.57,0.82,1.97,-0.45,-0.6,0.84,-0.49,-0.55,2.77,0.81
"26",26,"Mark Milligan",2018,"Australia",-0.42,-0.59,-0.51,-0.8,3.13,3.12,-0.67,0.91,0.94,0.66,2.4,-0.45,-0.01,0.35,-0.91,-0.15,4.03,0.7125
"27",27,"Mathew Leckie",2018,"Australia",-0.42,1.26,0.27,3.91,-0.18,-0.41,0.98,0.91,-0.82,-0.45,1.12,-0.45,3.8,1.81,1.21,0.88,0.5,0.4375
"28",28,"Mathew Ryan",2018,"Australia",-0.42,-0.59,-0.51,-0.8,0.78,2.6,-0.67,-0.84,-0.82,-0.79,-0.38,-0.45,-0.6,-1.11,-0.91,-0.77,1.76,0.145
"29",29,"Mile Jedinak",2018,"Australia",4.17,4.51,0.27,0.23,1.56,0.36,0.16,-0.4,1.14,1,-0.38,0.32,2.04,1.81,-0.06,-0.15,-0.04,0.0975
"30",30,"Robbie Kruse",2018,"Australia",-0.42,-0.27,-0.51,0.82,-0.45,-0.67,-0.26,-0.4,0.52,-0.79,-0.59,-0.45,-0.6,-0.14,2.48,-0.63,-1.07,-0.46
"31",31,"Tim Cahill",2018,"Australia",-0.42,-0.21,-0.51,0.23,-1.17,-1.02,-0.67,-0.84,-0.82,-0.79,-0.8,-0.45,-0.01,-0.14,-0.49,-0.74,-1.86,-0.76
"32",32,"Tom Rogic",2018,"Australia",-0.42,0.11,-0.51,-0.65,-0.27,-0.59,3.04,0.48,-0.28,-0.07,-0.8,-0.45,-0.01,0.35,0.79,0.81,-0.11,0.605
"33",33,"Tomi Juric",2018,"Australia",-0.42,-0.59,-0.51,-0.5,-1.04,-0.85,-0.67,-0.84,-0.82,-0.79,-0.59,-0.45,0.57,-1.11,-0.49,-0.7,-1.69,-0.7175
"34",34,"Trent Sainsbury",2018,"Australia",-0.42,-0.06,-0.51,0.68,1.98,2.86,-0.67,0.26,-0.12,2.61,2.4,-0.45,2.04,-0.14,0.36,-0.19,3.12,0.485
"35",35,"Adnan Januzaj",2018,"Belgium",0.57,-0.43,-0.17,-0.48,-1.15,-0.96,-0.14,-0.37,-0.82,-0.54,-0.8,-0.45,-0.89,-0.9,-0.73,-0.29,-1.33,-0.41
"36",36,"Axel Witsel",2018,"Belgium",-0.42,-0.34,-0.17,-0.61,1.31,-0.33,0.39,-0.37,-0.07,0.82,-0.44,0.34,-0.14,0.77,0.73,-0.38,-0.7,-0.12
"37",37,"Dedryck Boyata",2018,"Belgium",-0.42,-0.59,-0.51,-0.67,0.25,-0.22,-0.67,-0.65,-0.82,-0.01,0.48,0.61,0.36,-0.27,-0.55,-0.77,-0.87,-0.5125
"38",38,"Dries Mertens",2018,"Belgium",0.57,-0.24,0.82,0.84,-0.47,-0.51,-0.32,-0.55,-0.61,-0.23,-0.8,-0.45,-0.89,-0.27,-0.18,1.27,-1.06,-0.14
"39",39,"Eden Hazard",2018,"Belgium",2.53,3.05,-0.17,2.55,0.55,0.67,6.41,3.19,0.51,0.23,-0.71,-0.45,-0.14,0.14,3.99,3.31,3.86,2.525
"40",40,"Jan Vertonghen",2018,"Belgium",0.57,-0.56,-0.17,-0.23,1.26,1.37,-0.32,-0.46,0.97,0.75,0.66,0.59,0.74,-0.07,-0.36,-0.77,0.91,0.105
"41",41,"Kevin De Bruyne",2018,"Belgium",0.57,0.34,3.15,0.4,1.03,1.11,0.22,1.7,0.5,1.1,-0.35,-0.45,-0.39,-0.07,-0.36,3.26,2.81,1.545
"42",42,"Leander Dendoncker",2018,"Belgium",-0.42,-0.59,-0.51,-0.8,-0.74,-0.88,-0.67,-0.65,-0.58,-0.79,-0.62,0.11,-0.89,-0.69,-0.73,-0.77,-1.53,-0.6775
"43",43,"Marouane Fellaini",2018,"Belgium",0.57,-0.19,-0.17,0.53,-0.32,-0.73,-0.14,-0.65,0.33,-0.56,-0.16,1.75,1.12,1.19,0.18,-0.21,-1.38,-0.4225
"44",44,"Michy Batshuayi",2018,"Belgium",0.57,2.57,-0.51,0.34,-1.1,-1.1,-0.14,-0.55,-0.82,-0.79,-0.8,-0.45,-0.64,-1.11,-0.73,-0.29,-1.65,-0.575
"45",45,"Mousa Dembélé",2018,"Belgium",-0.42,-0.59,-0.51,-0.8,-0.38,-0.81,-0.67,-0.37,0.37,-0.19,-0.53,1.14,-0.64,0.35,-0.73,-0.71,-1.18,-0.59
"46",46,"Nacer Chadli",2018,"Belgium",0.57,0.25,0.82,0.09,0.03,0.11,0.57,0.48,-0.36,-0.01,-0.16,-0.45,-0.01,-0.69,-0.73,0.27,0.59,0.495
"47",47,"Romelu Lukaku",2018,"Belgium",3.51,2.86,-0.17,1.92,-0.66,-0.92,0.39,0.29,-0.61,-0.79,-0.71,-0.45,0.62,0.98,-0.36,0.5,-0.63,-0.1025
"48",48,"Thibaut Courtois",2018,"Belgium",-0.42,-0.59,-0.51,-0.8,0.22,1.59,-0.67,-0.84,-0.82,-0.79,-0.35,-0.45,-0.64,-1.11,-0.91,-0.77,0.75,-0.1075
"49",49,"Thomas Meunier",2018,"Belgium",0.57,0.25,0.82,0.28,0.33,0.93,0.04,1.13,-0.05,0.08,-0.25,0.58,-0.27,0.77,-0.73,1.13,2.06,0.73
"50",50,"Thomas Vermaelen",2018,"Belgium",-0.42,-0.59,-0.51,-0.8,-0.7,-0.62,-0.67,-0.74,-0.58,-0.67,-0.53,-0.18,-0.77,-0.48,-0.73,-0.77,-1.36,-0.635
"51",51,"Thorgan Hazard",2018,"Belgium",-0.42,-0.41,0.16,-0.54,-0.89,-0.73,-0.14,-0.18,0,-0.29,-0.53,-0.45,-0.77,-0.9,-0.91,-0.21,-0.91,-0.2225
"52",52,"Toby Alderweireld",2018,"Belgium",-0.42,-0.21,-0.51,-0.48,2.03,1.15,-0.67,1.98,0.76,0.33,1.12,3.42,-0.27,-0.27,-0.73,-0.73,3.13,0.4875
"53",53,"Vincent Kompany",2018,"Belgium",-0.42,-0.34,-0.51,0.34,0.94,0.3,-0.67,0.48,0.06,-0.31,1.3,1.59,-0.39,0.35,-0.73,-0.77,0.78,-0.1
"54",54,"Yannick Carrasco",2018,"Belgium",-0.42,-0.3,-0.51,0.15,-0.67,-0.44,0.22,0.1,0.06,-0.79,-0.44,-0.45,-0.89,-0.07,0,0.11,-0.34,-0.1575
"55",55,"Youri Tielemans",2018,"Belgium",-0.42,-0.43,-0.17,-0.8,-0.46,-0.62,-0.14,-0.46,-0.34,-0.55,-0.8,-0.45,-0.77,-0.27,-0.36,-0.24,-1.08,-0.3475
"56",56,"Alisson",2018,"Brazil",-0.42,-0.59,-0.51,-0.8,-0.33,1.12,-0.67,-0.84,-0.82,-0.79,-0.55,-0.45,-0.54,-1.11,-0.91,-0.77,0.28,-0.225
"57",57,"Casemiro",2018,"Brazil",-0.42,-0.34,-0.04,0.09,1.36,0.45,0.82,0.21,3.12,1.41,0.61,0.17,0.69,-0.23,-0.4,-0.11,0.66,0.36
"58",58,"Danilo",2018,"Brazil",-0.42,-0.59,-0.51,-0.8,-0.65,-0.74,-0.42,-0.7,-0.43,-0.39,-0.55,-0.45,-0.89,-1.11,-0.66,-0.66,-1.44,-0.5925
"59",59,"Douglas Costa",2018,"Brazil",-0.42,-0.38,-0.51,0,-0.79,-0.74,1.31,2.05,-0.27,0.09,-0.8,-0.45,-0.89,-1.11,-0.91,0.75,1.31,0.5275
"60",60,"Fagner",2018,"Brazil",-0.42,-0.59,0.42,-0.27,1.16,0.34,-0.17,0.21,0.86,2.81,0.35,-0.45,-0.89,0.94,-0.15,0,0.55,0.2
"61",61,"Fernandinho",2018,"Brazil",-0.42,-0.38,-0.04,-0.71,-0.01,-0.59,-0.67,-0.7,-0.82,2.58,-0.67,0.56,0.52,0.06,-0.4,-0.64,-1.29,-0.5
"62",62,"Filipe Luís",2018,"Brazil",-0.42,-0.55,-0.04,-0.53,0.07,0.03,-0.42,0.21,-0.11,0.11,-0.55,0.17,-0.54,-0.82,-0.91,-0.33,0.24,-0.055
"63",63,"Gabriel Jesus",2018,"Brazil",-0.42,0.78,-0.04,4.32,-0.42,-0.69,0.82,0.21,1.71,1.74,-0.29,-0.45,0.52,0.64,-0.15,1.96,-0.48,0.075
"64",64,"Marcelo",2018,"Brazil",-0.42,-0.41,1.36,0.09,1.6,1.94,0.32,2.05,0.94,2.2,-0.03,-0.45,-0.01,-0.82,-0.15,1.23,3.99,1.4175
"65",65,"Miranda",2018,"Brazil",-0.42,-0.47,-0.51,-0.09,1.5,0.29,-0.42,-0.44,2.31,1.81,1.63,3.79,0.87,1.23,0.11,-0.44,-0.15,-0.27
"66",66,"Neymar",2018,"Brazil",2.33,5.02,4.15,5.82,1.3,0.91,4.78,4.28,0.39,-0.79,-0.8,0.17,-0.72,0.06,5.7,7.28,5.19,3.53
"67",67,"Paulinho",2018,"Brazil",0.96,1.84,0.42,1.15,0.29,-0.74,0.32,-0.18,1.96,-0.23,-0.8,-0.45,-0.72,-0.23,0.62,0.95,-0.92,-0.045
"68",68,"Philippe Coutinho",2018,"Brazil",2.33,2.19,-0.04,1.94,2.12,0.24,1.06,3.76,1.19,-0.23,-0.55,-0.45,-0.19,-0.23,0.87,2.03,4,1.255
"69",69,"Renato Augusto",2018,"Brazil",0.96,0.39,-0.51,-0.35,-0.81,-0.95,-0.67,-0.57,-0.82,-0.39,-0.8,-0.45,-0.72,-1.11,-0.66,-0.53,-1.52,-0.675
"70",70,"Roberto Firmino",2018,"Brazil",0.96,2.19,-0.51,1.5,-0.9,-1.05,-0.42,-0.31,-0.27,-0.79,-0.8,-0.45,-0.37,-0.52,-0.66,0.09,-1.36,-0.5725
"71",71,"Thiago Silva",2018,"Brazil",0.96,1.15,-0.51,1.23,1.89,0.7,-0.67,1.13,0.99,1.95,2.02,3.44,0.87,-0.52,-0.15,-0.6,1.83,0.1625
"72",72,"Willian",2018,"Brazil",-0.42,-0.34,1.36,0,0.42,0.03,2.05,2.71,0.14,1.18,-0.55,-0.45,-0.19,0.35,1.63,1.39,2.74,1.5375
"73",73,"Abel Aguilar",2018,"Colombia",-0.42,-0.59,-0.51,-0.8,-1.16,-1.04,-0.67,-0.68,-0.82,-0.79,-0.8,-0.45,-0.69,-1.11,-0.91,-0.77,-1.72,-0.725
"74",74,"Carlos Bacca",2018,"Colombia",-0.42,-0.35,-0.51,0.12,-1.01,-0.98,-0.67,-0.53,-0.26,-0.79,-0.8,-0.45,0.12,0.24,-0.62,-0.21,-1.51,-0.6725
"75",75,"Carlos Sánchez",2018,"Colombia",-0.42,-0.59,-0.51,-0.8,-0.37,-0.39,-0.67,-0.84,0.21,-0.5,-0.65,-0.45,-0.49,0.91,-0.62,-0.62,-1.23,-0.6025
"76",76,"David Ospina",2018,"Colombia",-0.42,-0.59,-0.51,-0.8,-0.36,1.1,-0.67,-0.84,-0.82,-0.79,-0.65,-0.45,-0.69,-1.11,-0.32,-0.77,0.26,-0.23
"77",77,"Davinson Sánchez",2018,"Colombia",-0.42,-0.41,-0.51,0.22,0.88,1.04,-0.67,-0.68,-0.52,0.91,3.19,2.92,1.14,-0.44,-0.32,-0.72,0.36,-0.205
"78",78,"James Rodríguez",2018,"Colombia",-0.42,-0.35,-0.51,0.02,-0.16,-0.15,0.76,-0.53,-0.39,-0.26,-0.65,-0.45,-0.69,0.24,-0.32,-0.16,-0.68,-0.1075
"79",79,"Jefferson Lerma",2018,"Colombia",-0.42,-0.53,-0.51,-0.8,-0.25,-0.86,-0.67,-0.53,-0.67,-0.48,0.08,0.55,-0.28,-0.1,-0.03,-0.52,-1.39,-0.6425
"80",80,"Johan Mojica",2018,"Colombia",-0.42,-0.57,1.11,-0.8,0.77,1.64,-0.1,-0.08,0.86,0.1,1.12,-0.45,0.73,-0.1,-0.32,0.01,1.56,0.6425
"81",81,"José Izquierdo",2018,"Colombia",-0.42,-0.59,0.03,-0.8,-1.03,-1.1,-0.1,-0.53,-0.82,-0.79,-0.8,-0.45,-0.69,-0.77,-0.91,-0.65,-1.63,-0.425
"82",82,"Juan Cuadrado",2018,"Colombia",1.17,0.65,2.18,-0.08,0.51,0.63,1.9,0.83,-0.39,0.18,-0.06,-0.45,-0.49,0.24,2.61,1.41,1.46,1.385
"83",83,"Juan Quintero",2018,"Colombia",1.17,0,1.11,-0.59,0.55,1.46,-0.1,0.83,-0.16,-0.79,-0.65,-0.45,-0.89,-0.77,-0.03,1.77,2.29,0.825
"84",84,"Luis Muriel",2018,"Colombia",-0.42,-0.43,-0.51,-0.69,-1.03,-1.04,-0.38,-0.53,-0.02,-0.79,-0.8,-0.45,0.12,-0.1,-0.91,-0.49,-1.57,-0.615
"85",85,"Mateus Uribe",2018,"Colombia",-0.42,-0.14,-0.51,-0.69,-0.26,-0.63,-0.1,-0.53,1.16,0.1,-0.36,0.55,-0.49,-0.44,-0.62,-0.57,-1.16,-0.4425
"86",86,"Radamel Falcao",2018,"Colombia",1.17,1.68,-0.51,1.85,-0.13,-1.1,0.76,-0.23,-0.67,-0.79,-0.21,-0.45,1.95,1.25,1.73,-0.32,-1.33,-0.27
"87",87,"Santiago Arias",2018,"Colombia",-0.42,-0.57,0.03,-0.29,1.06,1.4,-0.67,-0.38,0.41,1.9,0.82,1.21,0.73,1.92,0.56,-0.42,1.02,0.095
"88",88,"Wilmar Barrios",2018,"Colombia",-0.42,-0.59,-0.51,-0.8,0.15,-0.15,-0.67,-0.38,1.8,0.55,0.08,0.2,-0.49,1.59,-0.03,-0.7,-0.53,-0.4275
"89",89,"Yerry Mina",2018,"Colombia",4.34,0.69,-0.51,0.22,0.61,-0.21,-0.38,0.38,0.34,0.55,2.6,0.85,1.95,0.91,0.56,-0.77,0.17,-0.18
"90",90,"Óscar Murillo",2018,"Colombia",-0.42,-0.49,-0.51,-0.29,-0.81,-0.75,-0.67,-0.53,-0.82,-0.48,0.68,-0.45,0.33,-1.11,-0.62,-0.77,-1.28,-0.615
"91",91,"Bryan Oviedo",2018,"Costa Rica",-0.42,-0.36,0.27,-0.06,-0.27,0.45,-0.67,-0.4,-0.49,-0.19,0.05,-0.45,-0.31,0.84,-0.91,-0.26,0.05,-0.0875
"92",92,"Bryan Ruiz",2018,"Costa Rica",-0.42,1.93,-0.51,-0.21,0.62,0.1,2.63,0.26,-0.56,-0.07,-0.38,-0.45,0.87,0.35,1.63,-0.33,0.36,0.62
"93",93,"Celso Borges",2018,"Costa Rica",-0.42,0.76,0.27,0.38,0.66,-0.07,0.16,-0.4,0.01,-0.14,0.48,-0.45,0.87,-0.14,-0.91,-0.11,-0.47,-0.01
"94",94,"Christian Bolaños",2018,"Costa Rica",-0.42,-0.59,0.27,-0.35,-0.79,-0.93,0.16,-0.62,-0.26,-0.79,-0.8,-0.45,-0.89,-1.11,-0.91,-0.41,-1.55,-0.28
"95",95,"Cristian Gamboa",2018,"Costa Rica",-0.42,-0.38,1.05,-0.65,0.17,1.48,0.57,-0.62,1.49,-0.65,0.05,-0.3,0.28,0.84,1.63,0.48,0.86,0.62
"96",96,"Daniel Colindres",2018,"Costa Rica",-0.42,-0.24,0.27,0.23,-0.89,-0.76,-0.26,-0.4,-0.26,-0.39,-0.8,-0.45,-0.89,0.84,0.36,-0.19,-1.16,-0.2875
"97",97,"David Guzmán",2018,"Costa Rica",-0.42,-0.5,1.05,-0.8,0.53,0.53,0.16,-0.18,-0.26,0.84,0.26,-0.45,-0.31,2.3,-0.49,0.4,0.35,0.39
"98",98,"Francisco Calvo",2018,"Costa Rica",-0.42,-0.5,-0.51,-0.8,-0.31,0.27,-0.26,-0.84,0.52,-0.21,0.05,-0.45,-0.01,-0.62,-0.91,-0.48,-0.57,-0.335
"99",99,"Giancarlo González",2018,"Costa Rica",-0.42,0.88,-0.51,-0.06,0.15,0.02,-0.67,-0.62,-0.82,0.19,3.89,2.22,0.87,-0.62,-0.06,-0.77,-0.6,-0.445
"100",100,"Joel Campbell",2018,"Costa Rica",-0.42,-0.18,0.27,1.12,-0.7,-0.41,2.63,0.48,-0.82,-0.59,-0.8,-0.45,-0.6,0.35,0.36,1.5,0.07,0.7425
"101",101,"Johan Venegas",2018,"Costa Rica",-0.42,-0.59,-0.51,0.09,-0.72,-0.59,-0.26,-0.84,-0.76,0.44,-0.8,-0.45,1.16,1.81,0.79,-0.52,-1.43,-0.55
"102",102,"Johnny Acosta",2018,"Costa Rica",-0.42,-0.59,-0.51,-0.8,0.07,0.79,-0.67,-0.4,0.01,-0.59,0.69,-0.14,0.28,-0.62,1.21,-0.77,0.39,-0.1975
"103",103,"Kendall Waston",2018,"Costa Rica",1.88,-0.36,-0.51,-0.5,-0.56,-0.07,-0.67,-0.4,-0.82,-0.19,0.48,0,-0.31,-1.11,-0.49,-0.63,-0.47,-0.4125
"104",104,"Keylor Navas",2018,"Costa Rica",-0.42,-0.59,0.27,-0.8,-0.08,2.51,-0.67,-0.84,-0.82,0.37,-0.38,-0.45,0.28,-1.11,-0.06,-0.66,1.67,0.3175
"105",105,"Marco Ureña",2018,"Costa Rica",-0.42,-0.27,-0.51,-0.21,-0.96,-1.1,-0.26,-0.84,-0.19,-0.79,-0.8,-0.45,-0.6,0.84,-0.49,-0.37,-1.94,-0.6775
"106",106,"Óscar Duarte",2018,"Costa Rica",-0.42,-0.47,0.27,0.38,-0.12,0.1,0.16,0.04,-0.82,-0.72,1.12,-0.45,0.87,-0.14,-0.49,0.07,0.14,0.1425
"107",107,"Andrej Kramaric",2018,"Croatia",0.52,0.27,0.45,0.83,-0.34,-0.93,-0.16,0.15,-0.22,-0.79,-0.54,-0.45,-0.65,-0.71,-0.39,-0.13,-0.78,-0.1225
"108",108,"Ante Rebic",2018,"Croatia",0.52,0.62,-0.19,1.37,-0.68,-0.65,2.37,0.51,1.02,0.97,-0.19,-0.45,0.79,3.07,1,0.34,-0.14,0.51
"109",109,"Danijel Subasic",2018,"Croatia",-0.42,-0.59,-0.51,-0.8,-0.03,1.93,-0.67,-0.75,-0.82,-0.79,-0.72,-0.45,-0.41,-1.11,-0.56,-0.77,1.18,-2.77555756156289e-17
"110",110,"Dejan Lovren",2018,"Croatia",-0.42,0.25,-0.51,0.71,1.36,0.76,-0.67,0.24,0.51,0.19,2.08,2.91,3.55,0.28,-0.04,-0.59,1,-0.045
"111",111,"Domagoj Vida",2018,"Croatia",0.52,-0.37,-0.51,-0.13,0.81,0.13,-0.5,-0.39,0.13,1.86,2.25,1.56,0.79,-0.71,-0.56,-0.53,-0.26,-0.3175
