"","gender","age","statereside","hhincome","education","maritalstatus","citizenus","working","probvote","Vote24Harris","Vote24Trump","Vote24Other","white","ContactsHarris","ContactsTrump","income","presvote"
"1","Male",75,"25 Massachusetts","13 60,000 to 74,999",10,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",75,25,13,NA
"2","Female",63,"25 Massachusetts","11 40,000 to 49,999",13,"6 Never married","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",62,35,11,NA
"3","Male",54,"25 Massachusetts","15 100,000 to 149,999",13,"4 Divorced","1 Yes","1 Yes","100",NA,100,NA,"1 Yes",0,100,15,"Trump"
"4","Male",64,"36 New York","16 150,000 or more",13,"1 Married (spouse lives with me)","1 Yes","0 No","100",0,100,0,"1 Yes",0,100,16,"Trump"
"5","Female",74,"25 Massachusetts","4 10,000 to 12,499",13,"5 Widowed","1 Yes","0 No","80",50,50,0,"1 Yes",50,50,4,"Trump"
"6","Female",57,"25 Massachusetts","16 150,000 or more",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",20,80,NA,"0 No",60,40,16,"Trump"
"7","Male",59,"33 New Hampshire","14 75,000 to 99,999",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,0,0,"0 No",90,5,14,"Harris"
"8","Male",61,"33 New Hampshire","14 75,000 to 99,999",14,"4 Divorced","1 Yes","1 Yes","100",100,NA,NA,"1 Yes",90,5,14,"Harris"
"9","Male",55,"33 New Hampshire","16 150,000 or more",13,"3 Separated","1 Yes","1 Yes","100",NA,100,NA,"1 Yes",0,100,16,"Trump"
"10","Male",62,"37 North Carolina","14 75,000 to 99,999",14,"2 Married (spouse lives elsewhere)","1 Yes","1 Yes","0",0,95,5,"1 Yes",35,65,14,"Trump"
"11","Female",47,"9 Connecticut","13 60,000 to 74,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,NA,NA,"0 No",70,30,13,"Harris"
"12","Female",78,"9 Connecticut","14 75,000 to 99,999",15,"1 Married (spouse lives with me)","1 Yes","0 No","99",100,NA,NA,"1 Yes",100,0,14,"Harris"
"13","Female",55,"12 Florida","9 30,000 to 34,999",10,"6 Never married","1 Yes","0 No","100",100,0,0,"1 Yes",80,20,9,"Harris"
"14","Female",73,"9 Connecticut","5 12,500 to 14,999",9,"4 Divorced","1 Yes","0 No","90",10,80,10,"1 Yes",10,90,5,"Trump"
"15","Male",72,"9 Connecticut","15 100,000 to 149,999",10,"4 Divorced","1 Yes","0 No","100",NA,100,NA,"1 Yes",10,90,15,"Trump"
"16","Female",74,"34 New Jersey","8 25,000 to 2,999",10,"4 Divorced","1 Yes","0 No","100",100,0,0,"0 No",98,0,8,"Harris"
"17","Male",71,"34 New Jersey","11 40,000 to 49,999",13,"4 Divorced","1 Yes","0 No","100",NA,100,NA,"1 Yes",25,75,11,"Trump"
"18","Male",83,"34 New Jersey","16 150,000 or more",14,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",100,0,16,NA
"19","Female",76,"34 New Jersey","14 75,000 to 99,999",14,"4 Divorced","1 Yes","0 No","100",NA,NA,NA,"1 Yes",80,20,14,NA
"20","Female",51,"36 New York","15 100,000 to 149,999",14,"6 Never married","1 Yes","1 Yes","100",100,NA,NA,"0 No",100,0,15,"Harris"
"21","Female",38,"36 New York","16 150,000 or more",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","99",100,0,0,"1 Yes",95,5,16,"Harris"
"22","Female",34,"36 New York","13 60,000 to 74,999",14,"6 Never married","1 Yes","1 Yes","100",100,NA,NA,"1 Yes",50,50,13,"Harris"
"23","Female",71,"36 New York","16 150,000 or more",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,NA,NA,"1 Yes",100,0,16,"Harris"
"24","Male",61,"36 New York","16 150,000 or more",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,0,0,"1 Yes",30,70,16,"Harris"
"25","Male",59,"36 New York","16 150,000 or more",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,100,NA,"1 Yes",0,100,16,"Trump"
"26","Male",66,"36 New York","16 150,000 or more",11,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,100,NA,"1 Yes",0,100,16,"Trump"
"27","Male",41,"36 New York","16 150,000 or more",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",0,100,NA,"1 Yes",5,95,16,"Trump"
"28","Female",66,"37 North Carolina","15 100,000 to 149,999",12,"4 Divorced","1 Yes","1 Yes","100",100,0,0,"1 Yes",10,90,15,"Harris"
"29","Female",57,"36 New York","13 60,000 to 74,999",11,"4 Divorced","1 Yes","1 Yes","100",100,0,NA,"1 Yes",90,10,13,"Harris"
"30","Male",43,"36 New York","16 150,000 or more",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","90",100,NA,NA,"1 Yes",90,10,16,"Harris"
"31","Female",53,"36 New York","15 100,000 to 149,999",9,"1 Married (spouse lives with me)","1 Yes","0 No","75",100,NA,NA,"1 Yes",90,10,15,"Harris"
"32","Male",69,"36 New York","12 50,000 to 59,999",13,"1 Married (spouse lives with me)","1 Yes","0 No","100",100,0,0,"1 Yes",100,0,12,"Harris"
"33","Male",77,"36 New York","7 20,000 to 24,999",10,"4 Divorced","1 Yes","0 No","100",0,100,0,"1 Yes",1,98,7,"Trump"
"34","Female",44,"36 New York","13 60,000 to 74,999",14,"6 Never married","1 Yes","1 Yes","100",0,100,0,"1 Yes",65,35,13,"Trump"
"35","Female",55,"36 New York","13 60,000 to 74,999",16,"6 Never married","1 Yes","1 Yes","100",100,0,0,"1 Yes",80,20,13,"Harris"
"36","Male",73,"42 Pennsylvania","11 40,000 to 49,999",13,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",60,40,11,NA
"37","Male",72,"42 Pennsylvania","11 40,000 to 49,999",11,"1 Married (spouse lives with me)","1 Yes","0 No","100",100,0,0,"1 Yes",65,35,11,"Harris"
"38","Female",35,"42 Pennsylvania","15 100,000 to 149,999",14,"1 Married (spouse lives with me)","1 Yes","0 No","99",0,99,1,"1 Yes",35,65,15,"Trump"
"39","Male",86,"42 Pennsylvania","11 40,000 to 49,999",10,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,100,NA,"1 Yes",50,50,11,"Trump"
"40","Female",56,"42 Pennsylvania","7 20,000 to 24,999",11,"4 Divorced","1 Yes","0 No","0",0,100,0,"1 Yes",10,90,7,"Trump"
"41","Male",67,"42 Pennsylvania","15 100,000 to 149,999",14,"4 Divorced","1 Yes","0 No","100",0,100,0,"1 Yes",10,90,15,"Trump"
"42","Male",84,"42 Pennsylvania","12 50,000 to 59,999",6,"5 Widowed","1 Yes","0 No","100",NA,100,NA,"1 Yes",1,99,12,"Trump"
"43","Male",46,"42 Pennsylvania","14 75,000 to 99,999",13,"1 Married (spouse lives with me)","1 Yes","0 No","100",100,NA,NA,"1 Yes",40,60,14,"Harris"
"44","Female",43,"42 Pennsylvania","15 100,000 to 149,999",12,"1 Married (spouse lives with me)","1 Yes","0 No","25",0,0,100,"1 Yes",40,50,15,"Other"
"45","Female",81,"42 Pennsylvania","4 10,000 to 12,499",5,"5 Widowed","1 Yes","0 No","0",90,NA,10,"1 Yes",75,0,4,"Harris"
"46","Female",79,"42 Pennsylvania","12 50,000 to 59,999",13,"4 Divorced","1 Yes","0 No","100",NA,100,NA,"1 Yes",0,100,12,"Trump"
"47","Female",48,"42 Pennsylvania","15 100,000 to 149,999",9,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,0,0,"0 No",NA,NA,15,"Harris"
"48","Female",38,"42 Pennsylvania","13 60,000 to 74,999",9,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",0,90,10,"1 Yes",25,60,13,"Trump"
"49","Male",62,"42 Pennsylvania","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,0,0,"1 Yes",75,20,15,"Harris"
"50","Male",52,"42 Pennsylvania","16 150,000 or more",10,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",0,100,0,"1 Yes",2,98,16,"Trump"
"51","Female",52,"42 Pennsylvania","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,NA,NA,"1 Yes",50,50,15,"Harris"
"52","Male",62,"42 Pennsylvania","12 50,000 to 59,999",13,"1 Married (spouse lives with me)","1 Yes","0 No","100",0,100,0,"1 Yes",2,90,12,"Trump"
"53","Male",41,"42 Pennsylvania","14 75,000 to 99,999",11,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",0,100,0,"1 Yes",0,100,14,"Trump"
"54","Male",58,"42 Pennsylvania","15 100,000 to 149,999",10,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",1,99,15,NA
"55","Female",69,"42 Pennsylvania","13 60,000 to 74,999",7,"4 Divorced","1 Yes","0 No","100",NA,NA,NA,"1 Yes",50,20,13,NA
"56","Female",52,"42 Pennsylvania","1 Less than $5,000",12,"4 Divorced","1 Yes","0 No","0",0,0,100,"1 Yes",50,50,1,"Other"
"57","Female",45,"42 Pennsylvania","15 100,000 to 149,999",14,"6 Never married","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",50,50,15,NA
"58","Male",58,"42 Pennsylvania","16 150,000 or more",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,NA,NA,"1 Yes",85,15,16,"Harris"
"59","Male",69,"42 Pennsylvania","16 150,000 or more",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",40,60,16,NA
"60","Female",69,"42 Pennsylvania","16 150,000 or more",9,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,100,NA,"1 Yes",50,50,16,"Trump"
"61","Male",69,"42 Pennsylvania","2 5,000 to 7,499",13,"4 Divorced","1 Yes","0 No","100",NA,NA,NA,"1 Yes",0,100,2,NA
"62","Male",79,"42 Pennsylvania","16 150,000 or more",15,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,NA,NA,"0 No",95,5,16,"Harris"
"63","Male",69,"42 Pennsylvania","7 20,000 to 24,999",9,"6 Never married","1 Yes","0 No","50",100,NA,NA,"0 No",100,0,7,"Harris"
"64","Male",76,"42 Pennsylvania","15 100,000 to 149,999",14,"4 Divorced","1 Yes","0 No","100",NA,NA,NA,"1 Yes",90,10,15,NA
"65","Female",76,"10 Delaware","10 35,000 to 39,999",10,"4 Divorced","1 Yes","0 No","100",100,0,0,"1 Yes",50,50,10,"Harris"
"66","Female",62,"48 Texas","12 50,000 to 59,999",13,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,100,NA,"1 Yes",50,50,12,"Trump"
"67","Female",74,"37 North Carolina","4 10,000 to 12,499",9,"4 Divorced","1 Yes","0 No","100",100,0,0,"0 No",100,0,4,"Harris"
"68","Male",61,"24 Maryland","6 15,000 to 19,999",10,"4 Divorced","1 Yes","0 No","100",NA,NA,NA,"0 No",100,0,6,NA
"69","Male",85,"24 Maryland","13 60,000 to 74,999",10,"1 Married (spouse lives with me)","1 Yes","0 No","100",0,100,0,"1 Yes",30,70,13,"Trump"
"70","Male",78,"4 Arizona","15 100,000 to 149,999",16,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"0 No",80,20,15,NA
"71","Female",56,"48 Texas","14 75,000 to 99,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","90",40,40,20,"1 Yes",40,40,14,"Trump"
"72","Male",45,"51 Virginia","15 100,000 to 149,999",15,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",40,60,15,NA
"73","Male",53,"51 Virginia","16 150,000 or more",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",5,95,16,NA
"74","Female",46,"51 Virginia","10 35,000 to 39,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,0,0,"1 Yes",100,0,10,"Harris"
"75","Male",56,"51 Virginia","15 100,000 to 149,999",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"0 No",50,50,15,NA
"76","Male",58,"51 Virginia","16 150,000 or more",9,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",50,50,NA,"0 No",50,50,16,"Trump"
"77","Female",56,"37 North Carolina","15 100,000 to 149,999",10,"1 Married (spouse lives with me)","1 Yes","1 Yes",".a",NA,NA,NA,"1 Yes",NA,NA,15,NA
"78","Female",69,"51 Virginia","8 25,000 to 2,999",9,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,100,NA,"1 Yes",0,100,8,"Trump"
"79","Male",67,"37 North Carolina","8 25,000 to 2,999",10,"4 Divorced","1 Yes","0 No","100",100,0,NA,"0 No",80,20,8,"Harris"
"80","Female",53,"37 North Carolina","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","90",0,0,100,"0 No",90,9,15,"Other"
"81","Female",59,"37 North Carolina","14 75,000 to 99,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","95",50,50,0,"0 No",100,0,14,"Trump"
"82","Male",47,"37 North Carolina","15 100,000 to 149,999",16,"1 Married (spouse lives with me)","1 Yes","1 Yes","99",99,0,1,"0 No",44,55,15,"Harris"
"83","Female",68,"37 North Carolina","11 40,000 to 49,999",9,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",20,80,11,NA
"84","Male",76,"37 North Carolina","16 150,000 or more",15,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,NA,NA,"1 Yes",50,50,16,"Harris"
"85","Male",47,"37 North Carolina","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"0 No",90,10,15,NA
"86","Male",45,"37 North Carolina","1 Less than $5,000",10,"6 Never married","1 Yes","0 No","5",5,5,90,"1 Yes",20,80,1,"Other"
