"","X.1","X","respondent_id","gender","age","height","children_under_18","household_income","education","location","frequency","recline_frequency","recline_obligation","recline_rude","recline_eliminate","switch_seats_friends","switch_seats_family","wake_up_bathroom","wake_up_walk","baby","unruly_child","two_arm_rests","middle_arm_rest","shade","unsold_seat","talk_stranger","get_up","electronics","smoked","NAcount","nrecline_rude","nage","agen","ngender","nrecline_frequency","frequentfliers"
"1",1,1,3436139758,NA,NA,NA,NA,NA,NA,NA,"Once a year or less",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,0
"2",2,2,3434278696,"Male","30-44","6'3""",TRUE,NA,"Graduate degree","Pacific","Once a year or less","About half the time",TRUE,"Somewhat",FALSE,"No","No","No","No","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,1,2,NA,2,1,2,0
"3",3,3,3434275578,"Male","30-44","5'8""",FALSE,"$100,000 - $149,999","Bachelor degree","Pacific","Once a year or less","Usually",TRUE,"No",FALSE,"No","No","No","Somewhat","Somewhat","Very","Whoever puts their arm on the arm rest first","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Three times",FALSE,FALSE,0,1,NA,2,1,3,0
"4",4,4,3434268208,"Male","30-44","5'11""",FALSE,"$0 - $24,999","Bachelor degree","Pacific","Once a year or less","Always",FALSE,"No",FALSE,"Somewhat","No","No","Somewhat","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,1,NA,2,1,4,0
"5",5,5,3434250245,"Male","30-44","5'7""",FALSE,"$50,000 - $99,999","Bachelor degree","Pacific","Once a month or less","About half the time",FALSE,"No",FALSE,"No","No","Somewhat","Somewhat","Somewhat","Very","The person in the middle seat gets both arm rests","The person in aisle","Everyone in the row should have some say","No","No","Twice",TRUE,FALSE,0,1,NA,2,1,2,0
"6",6,6,3434245875,"Male","30-44","5'9""",TRUE,"$25,000 - $49,999","Graduate degree","East North Central","Once a year or less","Usually",TRUE,"No",FALSE,"Somewhat","No","Somewhat","Very","Very","Very","Whoever puts their arm on the arm rest first","Whoever puts their arm on the arm rest first","The person in the window seat should have exclusive control","Somewhat","No","Once",FALSE,FALSE,0,1,NA,2,1,3,0
"7",7,7,3434235351,"Male","30-44","6'2""",TRUE,NA,"Some college or Associate degree","Pacific","Once a month or less","Once in a while",FALSE,"Somewhat",TRUE,"Somewhat","No","No","No","No","Somewhat","The person in the middle seat gets both arm rests","Whoever puts their arm on the arm rest first","Everyone in the row should have some say","No","Somewhat","Twice",FALSE,FALSE,1,2,NA,2,1,1,0
"8",8,8,3434218031,"Male","30-44","6'0""",TRUE,"$0 - $24,999","Bachelor degree","New England","Once a year or less","Once in a while",TRUE,"No",TRUE,"No","No","No","Somewhat","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Four times",FALSE,FALSE,0,1,NA,2,1,1,0
"9",9,9,3434213681,NA,NA,"6'0""",TRUE,NA,NA,NA,"Once a year or less","Once in a while",TRUE,"No",TRUE,NA,NA,NA,NA,NA,NA,"The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Four times",NA,NA,13,1,NA,NA,NA,1,0
"10",10,10,3434172894,"Male","30-44","5'6""",FALSE,"$0 - $24,999","Bachelor degree","Pacific","Once a year or less","Never",TRUE,"Very",TRUE,"Very","Very","Very","Very","Very","Very","Other (please specify)","Other (please specify)","Everyone in the row should have some say","Very","Very","It is not okay to get up during flight",FALSE,FALSE,0,3,NA,2,1,0,0
"11",11,11,3434165659,"Male","30-44","6'0""",FALSE,"$50,000 - $99,999","High school degree","Mountain","Once a month or less","Usually",TRUE,"No",FALSE,"No","No","Somewhat","Very","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","Very","No","Four times",FALSE,FALSE,0,1,NA,2,1,3,0
"12",12,12,3434164339,NA,NA,NA,NA,NA,NA,NA,"Once a year or less",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,0
"13",13,13,3434161941,NA,NA,"5'7""",NA,NA,NA,NA,"Once a year or less","Never",FALSE,"No",FALSE,NA,NA,NA,NA,NA,NA,"The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","Somewhat","Somewhat","Twice",NA,NA,14,1,NA,NA,NA,0,0
"14",14,14,3434155493,"Male","30-44",NA,NA,"$100,000 - $149,999","Some college or Associate degree","Pacific","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,2,1,NA,0
"15",15,15,3434132453,"Male","18-29",NA,NA,NA,"High school degree","South Atlantic","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,1,1,NA,0
"16",16,16,3434131535,"Male","18-29","6'0""",FALSE,NA,"Some college or Associate degree","East South Central","Once a year or less","Once in a while",TRUE,"Somewhat",FALSE,"Somewhat","No","No","Somewhat","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","Somewhat","Twice",FALSE,FALSE,1,2,NA,1,1,1,0
"17",17,17,3434125180,NA,NA,NA,NA,NA,NA,NA,"A few times per week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,1
"18",18,18,3434122066,"Male","30-44","5'8""",TRUE,"$100,000 - $149,999","Some college or Associate degree","Middle Atlantic","Once a year or less","Always",FALSE,"No",FALSE,"No","No","Somewhat","Very","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Once",FALSE,FALSE,0,1,NA,2,1,4,0
"19",19,19,3434114105,"Male","30-44","6'1""",FALSE,NA,"Bachelor degree","West North Central","Once a year or less","Once in a while",TRUE,"Somewhat",TRUE,"No","No","No","No","No","No","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","More than five times times",TRUE,FALSE,1,2,NA,2,1,1,0
