"","Country","Female","Ideo","ClimConcen","ClimSerious","Tech","SupportParis","WhenHarm","PesonalHarm","WorryType","RichPay","WomensRights","Edu","StandIncome","ClimStand","GDPPC","Diffs"
"1","Argentina",0,5,4,4,0,1,1,4,"Severe weather, like floods or intense storms",0,4,7,-0.23469313254452,0.806206591320783,14398.4,-0.0104726550446842
"2","Argentina",0,3,3,3,0,1,2,3,"Droughts or water shortages",1,3,11,0,-0.440039358996632,14398.4,-0.0104726550446842
"3","Argentina",1,4,4,3,0,0,2,4,"Droughts or water shortages",1,3,7,0,-0.440039358996632,14398.4,-0.0104726550446842
"4","Argentina",0,4,4,3,0,0,1,4,"Severe weather, like floods or intense storms",1,4,9,0,-0.440039358996632,14398.4,-0.0104726550446842
"5","Argentina",1,4,2,3,0,0,3,2,"Long periods of unusually hot weather",1,4,16,0,-0.440039358996632,14398.4,-0.0104726550446842
"6","Argentina",0,5,3,3,1,NA,3,2,"Droughts or water shortages",NA,3,6,-1.04026145235949,-0.440039358996632,14398.4,-0.0104726550446842
"7","Argentina",1,NA,4,4,1,0,1,4,"Severe weather, like floods or intense storms",1,4,7,0,0.806206591320783,14398.4,-0.0104726550446842
"8","Argentina",1,7,4,4,0,0,1,4,"Severe weather, like floods or intense storms",1,4,6,0,0.806206591320783,14398.4,-0.0104726550446842
"9","Argentina",0,NA,3,3,1,0,2,1,"Don't know",1,3,7,-1.44304561226698,-0.440039358996632,14398.4,-0.0104726550446842
"10","Argentina",1,NA,3,4,1,0,2,3,"Droughts or water shortages",1,NA,7,0,0.806206591320783,14398.4,-0.0104726550446842
"11","Argentina",0,NA,4,4,0,0,4,3,"Long periods of unusually hot weather",1,4,8,0,0.806206591320783,14398.4,-0.0104726550446842
"12","Argentina",0,5,3,4,0,1,1,3,"Severe weather, like floods or intense storms",0,4,13,-0.23469313254452,0.806206591320783,14398.4,-0.0104726550446842
"13","Argentina",0,6,1,2,1,0,3,2,"Severe weather, like floods or intense storms",1,3,8,-0.637477292452008,-1.68628530931405,14398.4,-0.0104726550446842
"14","Argentina",0,4,3,3,0,1,1,3,"Long periods of unusually hot weather",0,4,7,0,-0.440039358996632,14398.4,-0.0104726550446842
"15","Argentina",1,6,2,1,1,1,2,2,"Severe weather, like floods or intense storms",1,4,7,-1.24165353231324,-2.93253125963146,14398.4,-0.0104726550446842
"16","Argentina",1,4,3,4,0,1,1,4,"Droughts or water shortages",0,4,13,0,0.806206591320783,14398.4,-0.0104726550446842
"17","Argentina",1,3,3,3,0,1,1,3,"Long periods of unusually hot weather",1,4,7,-0.23469313254452,-0.440039358996632,14398.4,-0.0104726550446842
"18","Argentina",1,4,4,4,0,1,1,4,"Severe weather, like floods or intense storms",1,4,4,0,0.806206591320783,14398.4,-0.0104726550446842
"19","Argentina",0,NA,4,3,0,1,1,3,"Rising sea levels",0,3,12,0,-0.440039358996632,14398.4,-0.0104726550446842
"20","Argentina",0,4,4,4,0,1,1,4,"Rising sea levels",1,4,13,0,0.806206591320783,14398.4,-0.0104726550446842
"21","Argentina",1,3,4,4,0,1,1,4,"Rising sea levels",1,4,10,1.57783558703917,0.806206591320783,14398.4,-0.0104726550446842
"22","Argentina",0,5,4,4,0,1,1,4,"Droughts or water shortages",0,4,9,0,0.806206591320783,14398.4,-0.0104726550446842
"23","Argentina",0,4,3,3,0,1,1,4,"Long periods of unusually hot weather",0,4,10,-0.637477292452008,-0.440039358996632,14398.4,-0.0104726550446842
"24","Argentina",1,4,4,4,0,1,1,4,"Severe weather, like floods or intense storms",0,4,10,0,0.806206591320783,14398.4,-0.0104726550446842
"25","Argentina",0,4,4,4,1,1,1,4,"Droughts or water shortages",0,4,13,0,0.806206591320783,14398.4,-0.0104726550446842
"26","Argentina",1,NA,4,4,0,1,1,4,"Droughts or water shortages",0,4,7,0,0.806206591320783,14398.4,-0.0104726550446842
"27","Argentina",1,NA,4,4,0,1,1,4,"Droughts or water shortages",0,4,4,0,0.806206591320783,14398.4,-0.0104726550446842
"28","Argentina",0,NA,4,4,1,1,1,4,"Rising sea levels",0,4,14,0,0.806206591320783,14398.4,-0.0104726550446842
"29","Argentina",0,6,4,4,0,1,1,4,"Droughts or water shortages",1,4,5,-0.838869372405751,0.806206591320783,14398.4,-0.0104726550446842
"30","Argentina",1,4,3,3,0,1,1,3,"Severe weather, like floods or intense storms",0,4,4,-0.436085212498264,-0.440039358996632,14398.4,-0.0104726550446842
"31","Argentina",1,NA,3,3,0,1,1,3,"Severe weather, like floods or intense storms",0,4,4,0,-0.440039358996632,14398.4,-0.0104726550446842
"32","Argentina",1,NA,4,4,0,1,1,4,NA,1,4,15,1.17505142713169,0.806206591320783,14398.4,-0.0104726550446842
"33","Argentina",1,4,3,4,0,1,1,4,"Rising sea levels",0,4,11,0,0.806206591320783,14398.4,-0.0104726550446842
"34","Argentina",1,NA,4,4,NA,NA,NA,4,"Severe weather, like floods or intense storms",0,4,7,0,0.806206591320783,14398.4,-0.0104726550446842
"35","Argentina",0,5,4,4,0,1,1,4,"Long periods of unusually hot weather",0,4,12,0,0.806206591320783,14398.4,-0.0104726550446842
"36","Argentina",0,NA,3,3,0,NA,2,3,"Severe weather, like floods or intense storms",0,3,11,0,-0.440039358996632,14398.4,-0.0104726550446842
"37","Argentina",0,7,4,4,0,NA,1,4,"Severe weather, like floods or intense storms",1,4,7,0,0.806206591320783,14398.4,-0.0104726550446842
