X.1,X,respondent_id,gender,age,height,children_under_18,household_income,education,location,frequency,recline_frequency,recline_obligation,recline_rude,recline_eliminate,switch_seats_friends,switch_seats_family,wake_up_bathroom,wake_up_walk,baby,unruly_child,two_arm_rests,middle_arm_rest,shade,unsold_seat,talk_stranger,get_up,electronics,smoked,edu,NAcount,nrecline_rude,ngender
1,1,3436139758,NA,NA,NA,NA,NA,NA,NA,Once a year or less,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA
2,2,3434278696,Male,30-44,"6'3""",TRUE,NA,Graduate degree,Pacific,Once a year or less,About half the time,TRUE,Somewhat,FALSE,No,No,No,No,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE,1,1,2,2
3,3,3434275578,Male,30-44,"5'8""",FALSE,"$100,000 - $149,999",Bachelor degree,Pacific,Once a year or less,Usually,TRUE,No,FALSE,No,No,No,Somewhat,Somewhat,Very,Whoever puts their arm on the arm rest first,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,FALSE,FALSE,1,0,1,2
4,4,3434268208,Male,30-44,"5'11""",FALSE,"$0 - $24,999",Bachelor degree,Pacific,Once a year or less,Always,FALSE,No,FALSE,Somewhat,No,No,Somewhat,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,0,1,2
5,5,3434250245,Male,30-44,"5'7""",FALSE,"$50,000 - $99,999",Bachelor degree,Pacific,Once a month or less,About half the time,FALSE,No,FALSE,No,No,Somewhat,Somewhat,Somewhat,Very,The person in the middle seat gets both arm rests,The person in aisle,Everyone in the row should have some say,No,No,Twice,TRUE,FALSE,1,0,1,2
6,6,3434245875,Male,30-44,"5'9""",TRUE,"$25,000 - $49,999",Graduate degree,East North Central,Once a year or less,Usually,TRUE,No,FALSE,Somewhat,No,Somewhat,Very,Very,Very,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,Somewhat,No,Once,FALSE,FALSE,1,0,1,2
7,7,3434235351,Male,30-44,"6'2""",TRUE,NA,Some college or Associate degree,Pacific,Once a month or less,Once in a while,FALSE,Somewhat,TRUE,Somewhat,No,No,No,No,Somewhat,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,Somewhat,Twice,FALSE,FALSE,1,1,2,2
8,8,3434218031,Male,30-44,"6'0""",TRUE,"$0 - $24,999",Bachelor degree,New England,Once a year or less,Once in a while,TRUE,No,TRUE,No,No,No,Somewhat,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Four times,FALSE,FALSE,1,0,1,2
9,9,3434213681,NA,NA,"6'0""",TRUE,NA,NA,NA,Once a year or less,Once in a while,TRUE,No,TRUE,NA,NA,NA,NA,NA,NA,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Four times,NA,NA,NA,14,1,NA
10,10,3434172894,Male,30-44,"5'6""",FALSE,"$0 - $24,999",Bachelor degree,Pacific,Once a year or less,Never,TRUE,Very,TRUE,Very,Very,Very,Very,Very,Very,Other (please specify),Other (please specify),Everyone in the row should have some say,Very,Very,It is not okay to get up during flight,FALSE,FALSE,1,0,3,2
11,11,3434165659,Male,30-44,"6'0""",FALSE,"$50,000 - $99,999",High school degree,Mountain,Once a month or less,Usually,TRUE,No,FALSE,No,No,Somewhat,Very,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,Very,No,Four times,FALSE,FALSE,0,0,1,2
12,12,3434164339,NA,NA,NA,NA,NA,NA,NA,Once a year or less,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA
13,13,3434161941,NA,NA,"5'7""",NA,NA,NA,NA,Once a year or less,Never,FALSE,No,FALSE,NA,NA,NA,NA,NA,NA,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,Somewhat,Somewhat,Twice,NA,NA,NA,15,1,NA
14,14,3434155493,Male,30-44,NA,NA,"$100,000 - $149,999",Some college or Associate degree,Pacific,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,2
15,15,3434132453,Male,18-29,NA,NA,NA,High school degree,South Atlantic,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21,NA,2
16,16,3434131535,Male,18-29,"6'0""",FALSE,NA,Some college or Associate degree,East South Central,Once a year or less,Once in a while,TRUE,Somewhat,FALSE,Somewhat,No,No,Somewhat,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,Twice,FALSE,FALSE,1,1,2,2
17,17,3434125180,NA,NA,NA,NA,NA,NA,NA,A few times per week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA
18,18,3434122066,Male,30-44,"5'8""",TRUE,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,Once a year or less,Always,FALSE,No,FALSE,No,No,Somewhat,Very,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Once,FALSE,FALSE,1,0,1,2
19,19,3434114105,Male,30-44,"6'1""",FALSE,NA,Bachelor degree,West North Central,Once a year or less,Once in a while,TRUE,Somewhat,TRUE,No,No,No,No,No,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,More than five times times,TRUE,FALSE,1,1,2,2
20,20,3434109246,NA,NA,NA,NA,NA,NA,NA,Once a year or less,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA
21,21,3434107997,Male,18-29,"5'10""",FALSE,"$25,000 - $49,999",Bachelor degree,South Atlantic,Once a year or less,Never,TRUE,Very,TRUE,No,No,No,No,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,More than five times times,FALSE,FALSE,1,0,3,2
22,22,3434100967,Male,30-44,"5'7""",FALSE,"$0 - $24,999",Bachelor degree,East North Central,Once a year or less,Once in a while,FALSE,No,FALSE,No,No,No,No,No,Somewhat,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,FALSE,FALSE,1,0,1,2
23,23,3434087928,Male,18-29,NA,NA,"$50,000 - $99,999",Bachelor degree,East North Central,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,2
24,24,3434084098,Male,18-29,NA,NA,"$0 - $24,999",Some college or Associate degree,East North Central,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,2
25,25,3434071488,Male,18-29,NA,NA,"$50,000 - $99,999",Bachelor degree,Pacific,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,2
26,26,3434061256,Male,30-44,NA,NA,NA,High school degree,Middle Atlantic,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21,NA,2
27,27,3434059758,Male,18-29,NA,NA,"$50,000 - $99,999",Bachelor degree,Pacific,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,2
28,28,3434052290,Male,30-44,"6'0""",FALSE,"$25,000 - $49,999",Bachelor degree,East North Central,Once a year or less,Once in a while,TRUE,No,FALSE,No,No,No,Somewhat,No,Very,The arm rests should be shared,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE,1,0,1,2
29,29,3434049700,Male,18-29,"6'2""",FALSE,"$50,000 - $99,999",Some college or Associate degree,West South Central,Once a year or less,About half the time,TRUE,No,FALSE,Somewhat,Somewhat,No,No,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Four times,TRUE,FALSE,1,0,1,2
30,30,3434041278,Male,30-44,"5'6""",FALSE,NA,Some college or Associate degree,Pacific,Once a year or less,Always,FALSE,No,FALSE,Somewhat,Somewhat,No,Very,Somewhat,Very,Other (please specify),Other (please specify),The person in the window seat should have exclusive control,Somewhat,No,Once,FALSE,FALSE,1,1,1,2
31,31,3434033301,Male,18-29,"5'11""",FALSE,NA,Bachelor degree,Middle Atlantic,Once a year or less,About half the time,TRUE,Somewhat,FALSE,Very,Somewhat,Very,Very,Somewhat,Very,The people in the aisle and window seats get both arm rests,The person in aisle,The person in the window seat should have exclusive control,Somewhat,No,Once,FALSE,FALSE,1,1,2,2
32,32,3434024435,Male,30-44,"5'10""",FALSE,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,Once a year or less,Never,TRUE,Somewhat,TRUE,No,No,No,No,Very,Very,The arm rests should be shared,The person by the window,The person in the window seat should have exclusive control,No,Very,Four times,FALSE,FALSE,1,0,2,2
33,33,3434018106,NA,NA,NA,NA,NA,NA,NA,A few times per week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA
34,34,3434016416,Male,30-44,"6'2""",TRUE,"$50,000 - $99,999",Bachelor degree,West South Central,Once a year or less,Once in a while,TRUE,No,FALSE,Somewhat,No,No,Somewhat,No,Somewhat,The arm rests should be shared,The person by the window,Everyone in the row should have some say,Somewhat,No,Three times,FALSE,FALSE,1,0,1,2
35,35,3434013636,Male,18-29,"5'7""",TRUE,"$0 - $24,999",Some college or Associate degree,Pacific,Every day,Usually,FALSE,Very,TRUE,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,Whoever puts their arm on the arm rest first,The person in aisle,The person in the window seat should have exclusive control,Somewhat,Somewhat,Once,TRUE,FALSE,1,0,3,2
36,36,3434009177,Male,18-29,"5'10""",TRUE,"$50,000 - $99,999",Some college or Associate degree,Pacific,Once a year or less,Never,TRUE,Very,FALSE,No,No,Somewhat,Somewhat,No,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE,1,0,3,2
37,37,3434003204,Male,18-29,"6'0""",FALSE,"$0 - $24,999",Bachelor degree,Pacific,Once a year or less,About half the time,TRUE,No,FALSE,Somewhat,No,Somewhat,Somewhat,Somewhat,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE,1,0,1,2
38,38,3434003093,Male,18-29,"5'11""",FALSE,"$25,000 - $49,999",Some college or Associate degree,Pacific,Once a year or less,Once in a while,TRUE,Somewhat,FALSE,Somewhat,No,No,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,Somewhat,No,Twice,FALSE,FALSE,1,0,2,2
39,39,3433976285,Male,18-29,NA,NA,NA,High school degree,South Atlantic,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21,NA,2
40,40,3433973110,Male,30-44,NA,NA,"$25,000 - $49,999",Some college or Associate degree,West South Central,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,2
41,41,3433964953,Male,18-29,"5'5""",FALSE,"$0 - $24,999",High school degree,Pacific,Once a year or less,Usually,FALSE,Somewhat,FALSE,Somewhat,No,No,Somewhat,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,Somewhat,No,More than five times times,FALSE,FALSE,0,0,2,2
42,42,3433964124,Male,30-44,"6'0""",TRUE,NA,Bachelor degree,New England,Once a year or less,Once in a while,FALSE,No,TRUE,No,No,No,No,No,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,Somewhat,Three times,FALSE,FALSE,1,1,1,2
43,43,3433957540,Male,18-29,"5'7""",FALSE,"$25,000 - $49,999",Bachelor degree,Pacific,Once a year or less,Never,TRUE,Somewhat,TRUE,No,No,No,No,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,TRUE,FALSE,1,0,2,2
44,44,3433954490,Male,18-29,NA,NA,"$25,000 - $49,999",Some college or Associate degree,East South Central,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,2
45,45,3433928804,Male,18-29,"5'7""",TRUE,NA,Bachelor degree,South Atlantic,Once a year or less,Once in a while,TRUE,Very,FALSE,Somewhat,Somewhat,Somewhat,Very,No,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,More than five times times,FALSE,FALSE,1,1,3,2
46,46,3433926438,Male,18-29,"6'2""",FALSE,NA,Graduate degree,South Atlantic,A few times per month,About half the time,FALSE,No,TRUE,No,No,No,No,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,More than five times times,FALSE,FALSE,1,1,1,2
47,47,3433914630,Male,30-44,"6'4""",FALSE,"$0 - $24,999",Bachelor degree,Mountain,Once a year or less,Once in a while,TRUE,Somewhat,FALSE,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Other (please specify),Other (please specify),The person in the window seat should have exclusive control,No,Somewhat,More than five times times,FALSE,FALSE,1,0,2,2
48,48,3433912503,Male,18-29,"6'0""",FALSE,"$0 - $24,999",Some college or Associate degree,East North Central,Once a year or less,Never,TRUE,No,FALSE,No,No,No,Somewhat,Somewhat,No,The arm rests should be shared,The person in aisle,Everyone in the row should have some say,No,Somewhat,More than five times times,FALSE,FALSE,1,0,1,2
49,49,3433895905,Male,30-44,"5'10""",TRUE,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,Once a year or less,Once in a while,TRUE,No,FALSE,Somewhat,Somewhat,Somewhat,Somewhat,No,Somewhat,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,Somewhat,Twice,FALSE,FALSE,1,0,1,2
50,50,3433890093,Male,18-29,"6'0""",FALSE,"$0 - $24,999",Bachelor degree,Pacific,Once a year or less,Always,FALSE,No,FALSE,No,No,No,No,No,Somewhat,Other (please specify),Other (please specify),The person in the window seat should have exclusive control,No,No,More than five times times,TRUE,FALSE,1,0,1,2
51,51,3433882884,Male,30-44,NA,NA,"$0 - $24,999",Some college or Associate degree,East North Central,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,2
52,52,3433881615,Male,18-29,"5'7""",FALSE,"$0 - $24,999",Some college or Associate degree,West North Central,A few times per month,Usually,TRUE,No,FALSE,No,No,No,No,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,0,1,2
53,53,3433880747,Male,18-29,"5'9""",FALSE,"$0 - $24,999",Some college or Associate degree,Mountain,Once a year or less,Once in a while,FALSE,No,FALSE,No,No,No,No,No,No,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,No,More than five times times,FALSE,FALSE,1,0,1,2
54,54,3433877510,Male,30-44,"6'1""",FALSE,NA,Graduate degree,East North Central,Once a year or less,Once in a while,TRUE,Very,TRUE,No,No,No,Somewhat,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,TRUE,FALSE,1,1,3,2
55,55,3433877337,Male,30-44,"6'2""",FALSE,"$50,000 - $99,999",Bachelor degree,East North Central,Once a month or less,Once in a while,TRUE,Somewhat,TRUE,No,No,No,No,No,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,FALSE,FALSE,1,0,2,2
56,56,3433873724,Male,18-29,"5'11""",FALSE,"$25,000 - $49,999",Bachelor degree,Pacific,Once a month or less,Once in a while,FALSE,No,FALSE,No,No,Somewhat,Somewhat,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,Somewhat,No,Twice,FALSE,FALSE,1,0,1,2
57,57,3433863512,Male,30-44,"6'6"" and above",FALSE,NA,Graduate degree,Pacific,Once a month or less,Usually,FALSE,No,FALSE,No,No,No,No,No,Somewhat,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,TRUE,FALSE,1,1,1,2
58,58,3433853098,Male,30-44,"5'10""",FALSE,"$50,000 - $99,999",Graduate degree,West South Central,Once a year or less,Usually,TRUE,Somewhat,TRUE,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,The person in the middle seat gets both arm rests,The person in aisle,Everyone in the row should have some say,Somewhat,Somewhat,Twice,FALSE,FALSE,1,0,2,2
59,59,3433847365,Male,30-44,"6'1""",TRUE,"$50,000 - $99,999",Bachelor degree,New England,Once a year or less,About half the time,TRUE,No,FALSE,No,No,No,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,More than five times times,FALSE,FALSE,1,0,1,2
60,60,3433842253,Male,30-44,"5'10""",FALSE,NA,Graduate degree,South Atlantic,Once a year or less,Never,TRUE,Very,TRUE,No,No,No,Somewhat,Somewhat,Very,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,Somewhat,Twice,TRUE,FALSE,1,1,3,2
61,61,3433809714,Male,18-29,"6'0""",FALSE,NA,Bachelor degree,East North Central,Once a year or less,Never,TRUE,Somewhat,FALSE,No,No,No,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,FALSE,FALSE,1,1,2,2
62,62,3433791959,Male,30-44,"6'2""",FALSE,"$0 - $24,999",Graduate degree,Pacific,Once a month or less,Usually,FALSE,No,FALSE,No,No,No,Somewhat,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,More than five times times,TRUE,FALSE,1,0,1,2
